those are checkers , DET VERB NOUN
i do not know , PRON VERB ADV VERB
that is the hole you blow into , PRON VERB DET NOUN PRON VERB ADP
not on the window sill adam , ADV ADP DET NOUN NOUN NOUN
that is very pretty , PRON VERB ADV ADJ
you write on the paper , PRON VERB ADP DET NOUN
you tell me , PRON VERB PRON
you go tell ursula then , PRON VERB VERB NOUN ADV
sitting in adam chair , VERB ADP NOUN NOUN
do not knock it over , VERB ADV VERB PRON PRT
i can not see it , PRON VERB ADV VERB PRON
i thought you were going to tell her , PRON VERB PRON VERB VERB PRT VERB PRON
the other was a cow i think , DET ADJ VERB DET NOUN PRON VERB
that is his pen , PRON VERB DET NOUN
that is cathy , PRON VERB NOUN
this is a diesel locomotive , DET VERB DET NOUN ADJ
you did not hurt yourself with the screwdriver , PRON VERB ADV VERB PRON ADP DET NOUN
you can fix the screws in your firetruck , PRON VERB VERB DET NOUN ADP DET NOUN
that is red , PRON VERB ADJ
this is a cork , DET VERB DET NOUN
put this one here , VERB DET NUM ADV
modern steam locomotive , ADJ NOUN ADJ
that looks like the letter f , DET NOUN ADP DET NOUN NOUN
put the cork on the cup , VERB DET NOUN ADP DET NOUN
we do not want all these beetles , PRON VERB ADV VERB PRT DET NOUN
rotary snow plow , ADJ NOUN NOUN
put the cork on the cup , VERB DET NOUN ADP DET NOUN
put the cork on the cup , VERB DET NOUN ADP DET NOUN
the pencils are coming , DET NOUN VERB VERB
here we are , ADV PRON VERB
i thought it was a brush , PRON VERB PRON VERB DET NOUN
adam put the penny in the cup , NOUN VERB DET NOUN ADP DET NOUN
we did not go to the grocery store , PRON VERB ADV VERB ADP DET NOUN NOUN
that is a streamlined coach , PRON VERB DET VERB NOUN
at the mouth , ADP DET NOUN
put the penny on the cup , VERB DET NOUN ADP DET NOUN
that is not for eating , PRON VERB ADV ADP VERB
that is good ice+cream , PRON VERB ADJ NOUN
you keep this one , PRON VERB DET NUM
you can open it up , PRON VERB VERB PRON PRT
it is snowing out , PRON VERB VERB PRT
i do not know , PRON VERB ADV VERB
she said you could open it , PRON VERB PRON VERB VERB PRON
i have one , PRON VERB NUM
you had forgotten you had the cap on top , PRON VERB VERB PRON VERB DET NOUN ADP NOUN
that is her pocketbook , PRON VERB PRON VERB
red and yellow , ADJ CONJ ADJ
i had rather write with this one , PRON VERB ADV VERB ADP DET NUM
this is the sleeping car , DET VERB DET VERB NOUN
it is so tiny you have_to be careful , PRON VERB ADV ADJ PRON ADV VERB ADJ
i am not doing anything , PRON VERB ADV VERB NOUN
let me see that adam , VERB PRON VERB DET NOUN
if you look out the other window maybe you will see it , ADP PRON VERB ADP DET ADJ NOUN ADV PRON VERB VERB PRON
yeah we saw the parrot , ADV PRON VERB DET NOUN
it is gone down the street , PRON VERB VERB PRT DET NOUN
this is a box car , DET VERB DET NOUN NOUN
you did not see an elephant , PRON VERB ADV VERB DET ADJ
you put it together , PRON VERB PRON ADV
looks like adam truck , VERB ADP NOUN NOUN
it was hot and he put it in the refrigerator the cup , PRON VERB ADJ CONJ PRON VERB PRON ADP DET NOUN DET NOUN
you turned it around properly and then you put them together , PRON VERB PRON ADV ADV CONJ ADV PRON VERB PRON ADV
you are turning it around , PRON VERB VERB PRON ADV
look somebody find something , VERB NOUN VERB NOUN
i do not know , PRON VERB ADV VERB
there goes one , PRT VERB NUM
the tape was in that box , DET NOUN VERB ADP DET NOUN
those are sardines , DET VERB NOUN
turning it around , VERB PRON ADV
that is your brush , PRON VERB DET NOUN
that is the mail car , PRON VERB DET NOUN NOUN
that is not a hammer , PRON VERB ADV DET NOUN
you draw up here , PRON VERB PRT ADV
yeah big doggie was eating , ADV ADJ NOUN VERB VERB
that is not a hammer , PRON VERB ADV DET NOUN
i do not think the doggie wants to write , PRON VERB ADV VERB DET NOUN VERB PRT VERB
she will need it to put the tape in , PRON VERB VERB PRON PRT VERB DET NOUN ADP
i think he is rather have you write , PRON VERB PRON VERB ADV VERB PRON VERB
you can push it up there , PRON VERB VERB PRON PRT PRT
there is a truck that looks like that , PRT VERB DET NOUN PRON VERB ADP DET
you must not play with a pencil in your hand , PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN
i think that one too large to go in the window , PRON VERB ADP NUM ADV ADJ PRT VERB ADP DET NOUN
i guess adam did , PRON VERB NOUN VERB
i do not know , PRON VERB ADV VERB
this is a fire hydrant , DET VERB DET NOUN ADJ
her nose wo not squeak either , DET NOUN ADV ADV ADJ CONJ
that is a big truck , PRON VERB DET ADJ NOUN
it is called the caboose , PRON VERB VERB DET NOUN
there goes another one , PRT VERB DET NUM
do not put it in your mouth , VERB ADV VERB PRON ADP DET NOUN
that is not a doggie , PRON VERB ADV DET NOUN
do not do that , VERB ADV VERB PRON
it is not time , PRON VERB ADV NOUN
squeeze your own , VERB DET ADJ
that is a can opener , PRON VERB DET VERB NOUN
let us hear your nose squeak , VERB PRON VERB DET NOUN VERB
i see it , PRON VERB PRON
a big needle , DET ADJ NOUN
it is terribly early in the morning to be so tired , PRON VERB ADV ADV ADP DET NOUN PRT VERB ADV VERB
it is one of the tools that they work with , PRON VERB NUM ADP DET NOUN ADP PRON VERB ADP
that looks like something in a box , DET NOUN ADP NOUN ADP DET NOUN
i think you can , PRON VERB PRON VERB
i did not bring my books today , PRON VERB ADV VERB DET NOUN NOUN
do not touch , VERB ADV ADJ
that is an old time train , PRON VERB DET ADJ NOUN NOUN
put them back on the board , VERB PRON ADV ADP DET NOUN
do not touch that , VERB ADV VERB PRON
tickle he is not ticklish , VERB PRON VERB ADV ADJ
that is a new word , PRON VERB DET ADJ NOUN
have something on the table that ursula brought adam , VERB NOUN ADP DET NOUN ADP NOUN VERB NOUN
i guess she might like to see that , PRON VERB PRON VERB ADP PRT VERB PRON
over here on the train track , PRT ADV ADP DET NOUN NOUN
we can not figure it out , PRON VERB ADV VERB PRON PRT
i do not know , PRON VERB ADV VERB
you just opened it , PRON ADV VERB PRON
that is yours , PRON VERB PRON
put the trains back on the table , VERB DET NOUN ADV ADP DET NOUN
i think that is a stick adam , PRON VERB PRON VERB DET NOUN NOUN
whistle in the baby mouth , VERB ADP DET NOUN NOUN
i do not know , PRON VERB ADV VERB
bow and arrow , ADV CONJ NOUN
you are turning it over , PRON VERB VERB PRON PRT
you dropped something over there , PRON VERB NOUN ADP PRT
that is adam baby , PRON VERB NOUN NOUN
write on the other side honey , VERB ADP DET ADJ NOUN NOUN
i do not see a ball , PRON VERB ADV VERB DET NOUN
adam do not throw those , NOUN VERB ADV VERB DET
not texaco star , ADV NOUN NOUN
all stars do not belong to texaco , PRT VERB VERB ADV VERB ADP NOUN
you need a chair , PRON VERB DET NOUN
it is in there , PRON VERB ADP PRT
not write ride , ADV VERB VERB
i am looking for this , PRON VERB VERB ADP DET
those are rocks , DET VERB NOUN
there may be fish in the water , PRT VERB VERB NOUN ADP DET NOUN
not shoe ball , ADV ADJ NOUN
i do not know , PRON VERB ADV VERB
shame on me , VERB ADP PRON
that is not chicken_little , PRON VERB ADV ADJ
i saw a tank truck , PRON VERB DET NOUN NOUN
you like it , PRON VERB PRON
i think i did , PRON VERB PRON VERB
go ask cromer if he would like a cup of coffee , VERB VERB NOUN ADP PRON VERB ADP DET NOUN ADP NOUN
you can not take the top off , PRON VERB ADV VERB DET NOUN PRT
you stepped on your cowboy hat , PRON VERB ADP DET NOUN NOUN
he does not want that tractor up his back , PRON VERB ADV VERB DET NOUN ADP DET ADV
you can close it if you want , PRON VERB ADV PRON ADP PRON VERB
he is not a road , PRON VERB ADV DET NOUN
d a m , ADP DET NOUN
perro going to read the book , NOUN VERB PRT VERB DET NOUN
those are records in a box , DET VERB NOUN ADP DET NOUN
let her write adam , VERB PRON VERB NOUN
she needs that pencil , PRON VERB DET NOUN
you are excused , PRON VERB VERB
here it is , ADV PRON VERB
adam fall toy , NOUN VERB NOUN
that is adam , PRON VERB NOUN
it is not time for your lunch yet , PRON VERB ADV NOUN ADP DET NOUN ADV
you did not fall that time , PRON VERB ADV VERB DET NOUN
it is not even eleven o'clock yet , PRON VERB ADV ADV NUM ADV ADV
you just sat down , PRON ADV VERB PRT
i thought you wanted ursula to read that , PRON VERB PRON VERB NOUN PRT VERB PRON
it is so tiny , PRON VERB ADV ADJ
ask ursula if she want ta a cup of coffee , VERB NOUN ADP PRON VERB NOUN DET NOUN ADP NOUN
careful do not hit ursula feet with the tow truck , ADJ VERB ADV VERB NOUN NOUN ADP DET NOUN NOUN
xxx the top to the truck , ADP DET NOUN ADP DET NOUN
i thought you were going to read to perro , PRON VERB PRON VERB VERB PRT VERB ADP NOUN
you do not need milk , PRON VERB ADV VERB NOUN
here perro adam going to read you a story , ADV NOUN NOUN VERB PRT VERB PRON DET NOUN
i do not think i would fit in that little corner , PRON VERB ADV VERB PRON VERB VERB ADP DET ADJ NOUN
you take that in and then come back for the napkins , PRON VERB ADP ADP CONJ ADV VERB ADV ADP DET NOUN
just like adam ladder , ADV ADP NOUN NOUN
careful do not hit ursla , ADJ VERB ADV VERB NOUN
here is a label , ADV VERB DET NOUN
doggie bit me shame , NOUN NOUN PRON VERB
hopping to missouri , VERB ADP NOUN
we saw some squirrels outside playing this morning , PRON VERB DET NOUN ADV VERB DET NOUN
that is a song , PRON VERB DET NOUN
if you put one foot on the floor you can push it , ADP PRON VERB NUM NOUN ADP DET NOUN PRON VERB VERB PRON
ask cromer if he wants some coffee , VERB NOUN ADP PRON VERB DET NOUN
it made xxx made yellow , PRON VERB NOUN VERB ADJ
i do not think it will if you put him down there , PRON VERB ADV VERB PRON VERB ADP PRON VERB PRON PRT PRT
like that now push , ADP DET ADV VERB
that one does not have a bunny+rabbit on , DET NOUN VERB ADV VERB DET NOUN ADP
there is a shell there , PRT VERB DET NOUN PRT
good morning to you , ADJ NOUN ADP PRON
that is a flat car , PRON VERB DET ADJ NOUN
try him up there , VERB PRON PRT PRT
adam ask cromer if he wants some coffee , NOUN VERB NOUN ADP PRON VERB DET NOUN
now bring it over to here , ADV VERB PRON ADP PRT ADV
those are her paper clips , DET VERB DET NOUN NOUN
you pull it over here first , PRON VERB PRON PRT ADV ADJ
or a baby nose , CONJ DET NOUN NOUN
careful do not hit ursula with your horse , ADJ VERB ADV VERB NOUN ADP DET NOUN
you do not know , PRON VERB ADV VERB
shadow_gay is the horse that won the kentucky derby , NOUN VERB DET NOUN PRON VERB DET NOUN NOUN
i thought i heard something on the tape , PRON VERB PRON VERB NOUN ADP DET NOUN
you do not play with cords either , PRON VERB ADV VERB ADP NOUN CONJ
adam ask cromer if he wants some , NOUN VERB NOUN ADP PRON VERB DET
put it down , VERB PRON PRT
on your side of the paper , ADP DET NOUN ADP DET NOUN
use the other one scissors , VERB DET ADJ NUM NOUN
he means use the other hand for scissors , PRON VERB VERB DET ADJ NOUN ADP NOUN
sounded like b f and o , VERB ADP NOUN NOUN CONJ NOUN
i do not think it does , PRON VERB ADV VERB PRON VERB
that is not pinnochio , PRON VERB ADV NOUN
those are chipmunks and mickey_mouse , DET VERB NOUN CONJ NOUN
i know his name , PRON VERB DET NOUN
that is very nice , PRON VERB ADV ADJ
you look like it , PRON VERB ADP PRON
the bus was in the box , DET NOUN VERB ADP DET NOUN
that is mine , PRON VERB PRON
ask him if he does , VERB PRON ADP PRON VERB
i will hold it , PRON VERB VERB PRON
i thought you were going to tell her , PRON VERB PRON VERB VERB PRT VERB PRON
i do not know , PRON VERB ADV VERB
wait you have_to ask him first , VERB PRON ADV VERB PRON ADV
there they are , ADV PRON VERB
ask him if he wants milk in it , VERB PRON ADP PRON VERB NOUN ADP PRON
put pajamas on and we can ride the car , VERB NOUN ADP CONJ PRON VERB VERB DET NOUN
there is purple , PRT VERB ADJ
it was over here somewhere , PRON VERB PRT ADV ADV
he had do without a suitcase , PRON VERB VERB ADP DET NOUN
there are the kitties , PRT VERB DET NOUN
daddy has mommy keys , NOUN VERB NOUN NOUN
you do not need a pencil , PRON VERB ADV VERB DET NOUN
they are sitting at the table , PRON VERB VERB ADP DET NOUN
you had a pencil , PRON VERB DET NOUN
you might go to sleep , PRON VERB VERB PRT VERB
here is a pencil , ADV VERB DET NOUN
yeah you dropped it , ADV PRON VERB PRON
not on mr cromer lap , ADV ADP NOUN NOUN NOUN
i do not think they went anyplace , PRON VERB ADV VERB PRON VERB NOUN
that is yours , PRON VERB PRON
i do not think i have heard that before , PRON VERB ADV VERB PRON VERB VERB ADP ADP
you play on the floor , PRON VERB ADP DET NOUN
i will hurt myself if i play with your toy , PRON VERB VERB PRON ADP PRON VERB ADP DET NOUN
i do not think she has any more , PRON VERB ADV VERB PRON VERB DET ADJ
you can not play with daddy , PRON VERB ADV VERB ADP NOUN
do not go in there yet , VERB ADV VERB ADP ADV ADV
you sit on the other side of the table , PRON VERB ADP DET ADJ NOUN ADP DET NOUN
that is heavy , PRON VERB ADJ
the man on the radio , DET NOUN ADP DET NOUN
maybe he likes ball players , ADV PRON VERB NOUN NOUN
we read that side , PRON VERB DET NOUN
on the paper , ADP DET NOUN
you do it , PRON VERB PRON
you knocked it off , PRON VERB PRON PRT
they are painting , PRON VERB VERB
that is funny , PRON VERB ADJ
you wrote on my finger , PRON VERB ADP DET NOUN
you have some in your cup , PRON VERB DET ADP DET NOUN
play with mommy slipper , VERB ADP ADJ NOUN
surprise we wait , VERB PRON VERB
they are hangers , PRON VERB NOUN
so you can put it in a notebook if you like , ADP PRON VERB VERB PRON ADP DET NOUN ADP PRON VERB
that is not bumble bee that is a beaver , PRON VERB ADV ADJ NOUN PRON VERB DET NOUN
just take the spoon out if you want it , ADV VERB DET NOUN PRT ADP PRON VERB PRON
you did not , PRON VERB ADV
let us leave the tape recorder , VERB PRON VERB DET NOUN NOUN
adam looking for the paper to put the boot on i guess , NOUN VERB ADP DET NOUN PRT VERB DET NOUN ADP PRON VERB
there is nothing in here to read , PRT VERB NOUN ADP ADV PRT VERB
i do not know , PRON VERB ADV VERB
get off her briefcase honey , VERB PRT DET NOUN NOUN
mommy read it , NOUN VERB PRON
neither do i , CONJ VERB PRON
nothing you have it in your hand , NOUN PRON VERB PRON ADP DET NOUN
i do not know , PRON VERB ADV VERB
i do not know , PRON VERB ADV VERB
that is dressing , PRON VERB VERB
that is brush , PRON VERB NOUN
let us play a game , VERB PRON VERB DET NOUN
that is not ursula , PRON VERB ADV NOUN
it is a watch , PRON VERB DET NOUN
put them on the chair , VERB PRON ADP DET NOUN
there it is , ADV PRON VERB
i do not know , PRON VERB ADV VERB
over here dear , PRT ADV ADJ
you are going to tear it , PRON VERB VERB PRT VERB PRON
you had it all squashed down , PRON VERB PRON PRT VERB PRT
i do not think that would be very good really , PRON VERB ADV VERB PRON VERB VERB ADV ADJ ADV
i do not think it is a painting , PRON VERB ADV VERB PRON VERB DET NOUN
i can not put it together , PRON VERB ADV VERB PRON ADV
i think it is really a photograph , PRON VERB PRON VERB ADV DET NOUN
that is not a cord , PRON VERB ADV DET NOUN
you have_to go get the car , PRON ADV VERB VERB DET NOUN
ursula brought that , NOUN VERB PRON
come in adam , VERB ADP NOUN
i can not do that , PRON VERB ADV VERB PRON
i just read that , PRON ADV VERB PRON
you read it to me now , PRON VERB PRON ADP PRON ADV
draw a boot on the paper , VERB DET NOUN ADP DET NOUN
you are welcome , PRON VERB ADJ
you can not play with that , PRON VERB ADV VERB ADP DET
adam your juice is out here , NOUN DET NOUN VERB PRT ADV
you are picking the ball , PRON VERB VERB DET NOUN
it is a can top , PRON VERB DET VERB ADJ
you are welcome adam , PRON VERB ADJ NOUN
the tape recorder , DET NOUN NOUN
you have_to stand up and do it , PRON ADV VERB PRT CONJ VERB PRON
that is a fuse , PRON VERB DET NOUN
maybe you can fix it , ADV PRON VERB VERB PRON
here is one , ADV VERB NUM
pinocchio and jiminy cricket , NOUN CONJ ADJ NOUN
it screws into the toy , PRON VERB ADP DET NOUN
here is a tiny letter for your purse , ADV VERB DET ADJ NOUN ADP DET NOUN
strong and healthy , ADJ CONJ ADJ
that is a nice big brother , PRON VERB DET ADJ ADJ NOUN
wait a minute , VERB DET NOUN
play momma slipper , VERB NOUN NOUN
take a piece of candy , VERB DET NOUN ADP NOUN
after supper ball , ADP NOUN NOUN
you go talk to ursula , PRON VERB VERB ADP NOUN
bring it over adam , VERB PRON ADP NOUN
i think he was saying something else , PRON VERB PRON VERB VERB NOUN ADV
i do not know , PRON VERB ADV VERB
you hit your head did not you , PRON VERB DET NOUN VERB ADV PRON
let us see , VERB PRON VERB
this a piece of metal , DET DET NOUN ADP NOUN
this is mine , DET VERB PRON
it is all squashed , PRON VERB PRT VERB
come on fellow , VERB ADP NOUN
that is not a rocket , PRON VERB ADV DET NOUN
i have_to use that , PRON VERB NOUN ADP
bring it here and i will turn it for you , VERB PRON ADV CONJ PRON VERB VERB PRON ADP PRON
you know humpty_dumpty , PRON VERB ADJ
that is not a rocket , PRON VERB ADV DET NOUN
that is a wheaties box , PRON VERB DET NOUN NOUN
you could use the paper , PRON VERB VERB DET NOUN
you are stepping on her feet , PRON VERB VERB ADP DET NOUN
big and strong , ADJ CONJ ADJ
you do not need to make it so long adam , PRON VERB ADV VERB PRT VERB PRON ADV ADJ NOUN
do not pull mommy , VERB ADV ADJ NOUN
he did not say anything , PRON VERB ADV VERB NOUN
that is very nice , PRON VERB ADV ADJ
talking to mr , VERB ADP NOUN
you go over near the door , PRON VERB PRT ADP DET NOUN
i do not know , PRON VERB ADV VERB
cromer is big and strong , NOUN VERB ADJ CONJ ADJ
you are welcome adam , PRON VERB ADJ NOUN
that is the bear riding a unicycle , PRON VERB DET NOUN VERB DET NOUN
you lost your dirt , PRON VERB DET NOUN
do not spill your coffee , VERB ADV VERB DET NOUN
you wind it , PRON VERB PRON
hold your hand way way up , VERB DET NOUN NOUN NOUN PRT
by pablo picasso , ADP NOUN NOUN
go high as you can , VERB ADJ ADP PRON VERB
now let go , ADV VERB VERB
i see it , PRON VERB PRON
i see it , PRON VERB PRON
she did not make any noise , PRON VERB ADV VERB DET NOUN
it is a windmill , PRON VERB DET NOUN
he is too little , PRON VERB ADV ADJ
she is still there , PRON VERB ADV ADV
careful adam the coffee hot , ADJ NOUN DET NOUN ADJ
you take the card , PRON VERB DET NOUN
i have many , PRON VERB ADJ
drop it down , VERB PRON PRT
he saw some clowns at the circus throw pies , PRON VERB DET NOUN ADP DET NOUN VERB NOUN
yeah ursula still there , ADV NOUN ADV ADV
play with momma slipper , VERB ADP NOUN NOUN
that one missing , DET NOUN VERB
now pull it back up , ADV VERB PRON ADV PRT
something in there , NOUN ADP PRT
fun to write , VERB PRT VERB
you almost fell while you were getting the dollars , PRON ADV VERB ADP PRON VERB VERB DET NOUN
watch it kids , VERB PRON VERB
bucket still there , NOUN ADV ADV
listen to it , VERB ADP PRON
you are going to give him one , PRON VERB VERB PRT VERB PRON NUM
i am writing , PRON VERB VERB
the color kittens are still there , DET NOUN NOUN VERB ADV ADV
you are dumping he was dumping trash out , PRON VERB VERB PRON VERB VERB NOUN PRT
something about feet , NOUN ADP NOUN
the tractor can not write , DET NOUN VERB ADV VERB
a bucket of paint , DET NOUN ADP NOUN
the racket can not write either , DET NOUN VERB ADV VERB CONJ
she does not have any games in that one adam , PRON VERB ADV VERB DET NOUN ADP DET NUM NOUN
you do that , PRON VERB PRON
adam is sitting down , NOUN VERB VERB PRT
i wo not step on your candy , PRON VERB ADV VERB ADP DET NOUN
it is a kitty , PRON VERB DET ADJ
i do not know , PRON VERB ADV VERB
here is the string , ADV VERB DET NOUN
you might hurt him , PRON VERB VERB PRON
i am just putting it here , PRON VERB ADV VERB PRON ADV
you do not throw books either , PRON VERB ADV VERB NOUN CONJ
a big lion , DET ADJ NOUN
that is daddy filing case , PRON VERB NOUN VERB NOUN
let adam stir you , VERB NOUN VERB PRON
now it is large enough , ADV PRON VERB ADJ ADJ
do not take those out , VERB ADV VERB DET PRT
the doggie ate all of his ice+cream , DET NOUN VERB PRT ADP DET NOUN
leave them in there , VERB PRON ADP PRT
put it on your ear , VERB PRON ADP DET NOUN
now it is large enough , ADV PRON VERB ADJ ADJ
that is a kitty foot , PRON VERB DET ADJ NOUN
you can turn this one on , PRON VERB VERB DET NUM ADP
he likes ice+cream , PRON VERB NOUN
you are going to put all of your toys away , PRON VERB VERB PRT VERB PRT ADP DET NOUN ADV
you are not even looking out the window , PRON VERB ADV ADV VERB ADP DET NOUN
that is a baby giraffe , PRON VERB DET NOUN NOUN
i can not turn it off , PRON VERB ADV VERB PRON PRT
thank_you very much , PRON ADV ADJ
because they are daddy , ADP PRON VERB NOUN
those are his paws , DET VERB DET NOUN
it feels a little like rubber i guess , PRON VERB DET ADJ ADP NOUN PRON VERB
that is a train , PRON VERB DET NOUN
here take it back to ursula , ADV VERB PRON ADV ADP NOUN
now you have spilled a whole cup of sugar almost , ADV PRON VERB VERB DET ADJ NOUN ADP NOUN ADV
you may fall , PRON VERB VERB
i am looking for a pencil , PRON VERB VERB ADP DET NOUN
if i let go you will fall and hurt yourself , ADP PRON VERB VERB PRON VERB NOUN CONJ VERB PRON
you went to cambridge , PRON VERB ADP NOUN
it does not turn off , PRON VERB ADV VERB PRT
i do not think so , PRON VERB ADV VERB ADV
i do not have a pencil in there , PRON VERB ADV VERB DET NOUN ADP PRT
i think that is still the sun , PRON VERB PRON VERB ADV DET NOUN
being stirred does not make you big strong and healthy , VERB VERB VERB ADV VERB PRON ADJ ADJ CONJ ADJ
i never saw that before , PRON ADV VERB ADP ADP
i think it is all wood , PRON VERB PRON VERB PRT VERB
because the springs are all wound up , ADP DET NOUN VERB PRT VERB PRT
just one wheel left , ADV NUM NOUN VERB
you just can not pick it up that way , PRON ADV VERB ADV VERB PRON PRT ADP NOUN
you are tires , PRON VERB NOUN
xxx espresso sing a song , NOUN NOUN VERB DET NOUN
she did not say tape recorder , PRON VERB ADV VERB NOUN NOUN
i do not want milk over me , PRON VERB ADV VERB NOUN ADP PRON
he is just sharp , PRON VERB ADV ADJ
she said cork , PRON VERB NOUN
go pick them up , VERB VERB PRON PRT
he does not have a ball , PRON VERB ADV VERB DET NOUN
he does not want to exercise , PRON VERB ADV VERB PRT VERB
use these fingers , VERB DET NOUN
he is giving himself a shower , PRON VERB VERB PRON DET NOUN
i think it came off , PRON VERB PRON VERB PRT
hold your arm way up , VERB DET NOUN NOUN PRT
we have_to find something to make a hole with , PRON ADV VERB NOUN PRT VERB DET NOUN ADP
part of the tape recorder , NOUN ADP DET NOUN NOUN
bring my purse , VERB DET NOUN
adam he does not want to exercise , NOUN PRON VERB ADV VERB PRT VERB
that is a good one to jump on , PRON VERB DET ADJ NUM PRT VERB PRT
that is a porcupine , PRON VERB DET NOUN
we will put them up now , PRON VERB VERB PRON PRT ADV
maybe it broke adam , ADV PRON VERB NOUN
trowbridge cambridge street , NOUN NOUN NOUN
that is not a taper , PRON VERB ADV DET NOUN
it does not have a band , PRON VERB ADV VERB DET NOUN
you have_to make a hole with something , PRON ADV VERB DET NOUN ADP NOUN
it is a tape recorder , PRON VERB DET NOUN NOUN
do not put them on the floor adam , VERB ADV VERB PRON ADP DET NOUN NOUN
let us have something to read , VERB PRON VERB NOUN PRT VERB
that is a hippopotamus , PRON VERB DET NOUN
that is not really a boy book , PRON VERB ADV ADV DET NOUN NOUN
this is a microphone , DET VERB DET NOUN
take a bath exercise play , VERB DET NOUN NOUN VERB
i have something to read , PRON VERB NOUN PRT VERB
maybe it is in here , ADV PRON VERB ADP ADV
this is a panda , DET VERB DET NOUN
he does not want pie , PRON VERB ADV VERB NOUN
because his nose is very small and it just broke off , ADP DET NOUN VERB ADV ADJ CONJ PRON ADV VERB PRT
i am drinking espresso , PRON VERB VERB ADV
it does not belong like that , PRON VERB ADV VERB ADP DET
he is finished , PRON VERB VERB
i have a nail file , PRON VERB DET NOUN NOUN
the sun is not shining in that window , DET NOUN VERB ADV VERB ADP DET NOUN
that is a polar bear , PRON VERB DET ADJ NOUN
now you play the game with me , ADV PRON VERB DET NOUN ADP PRON
it does not go that way , PRON VERB ADV VERB DET NOUN
you made it , PRON VERB PRON
i would not throw my hat , PRON VERB ADV VERB DET NOUN
xxx wait now xxx , NOUN VERB ADV NOUN
you ask me , PRON VERB PRON
it wo not stay there , PRON VERB ADV VERB PRT
it is on the other side of the house , PRON VERB ADP DET ADJ NOUN ADP DET NOUN
you had better take it back to ursula , PRON VERB ADV VERB PRON ADV ADP NOUN
i do not know , PRON VERB ADV VERB
a polar bear , DET ADJ NOUN
and bring the pencils back too , CONJ VERB DET NOUN ADV ADV
he is sitting on top of ice , PRON VERB VERB ADP NOUN ADP NOUN
because you did not eat your breakfast , ADP PRON VERB ADV VERB DET NOUN
you go back in the living room , PRON VERB ADV ADP DET VERB NOUN
this one the leopard , DET NUM DET NOUN
do not be so rough with the pen , VERB ADV VERB ADV ADJ ADP DET NOUN
you dropped your dollars on the floor , PRON VERB DET NOUN ADP DET NOUN
come on let us go , VERB PRT VERB PRON VERB
i did not take anything out , PRON VERB ADV VERB NOUN PRT
in the refrigerator so it will be nice and warm , ADP DET NOUN ADP PRON VERB VERB ADJ CONJ ADJ
ursula took something out , NOUN VERB NOUN PRT
i did not understand the word , PRON VERB ADV VERB DET NOUN
careful of the light adam , ADJ ADP DET NOUN NOUN
you do not have_to go to bed again , PRON VERB ADV ADV VERB PRT VERB ADV
you fell down on mommy rug , PRON VERB PRT ADP NOUN NOUN
i have some , PRON VERB DET
at least not like that anyway , ADP ADJ ADV ADP DET ADV
cowboy got the boot on , NOUN VERB DET NOUN ADP
do not hit anybody with that adam , VERB ADV VERB NOUN ADP DET NOUN
that is not chewing gum , PRON VERB ADV VERB NOUN
i think you had better take the watch back to ursula , PRON VERB PRON VERB ADV VERB DET NOUN ADV ADP NOUN
you do it , PRON VERB PRON
