you can fix the screws in your firetruck,pro:per mod v det:art n prep det:poss
that's alright then if you didn't do it on purpose,pro:dem adj adv:tem conj pro:per mod v pro:per prep n
yellow too,n post
streamlined coach,part n
oh no she doesn't need that now,co co pro:sub mod v pro:dem adv
oh you're going to build another house,co pro:per part inf v qn n
hi,co
sleeping car,part n
that's red,pro:dem adj
this is a cork,pro:dem cop det:art n
dining car,part n
put this one here,v pro:dem pro:indef adv
cork,n
modern steam locomotive,adj n n
that looks like the letter f,pro:rel v prep det:art n n:let
oh you made a street light,co pro:per v det:art n n
electric locomotive,adj n
put the cork on the cup,v det:art n prep det:art n
lion,n
switcher,n
we don't want all these beetles,pro:sub mod v qn pro:dem n
oh that's an elephant,co pro:dem det:art n
rotary snow plow,adj n n
okay,co
tickle ear,n n
flat car,adj n
again,adv
no,co
oh that's a big one,co pro:dem det:art adj pro:indef
put the cork on the cup,v det:art n prep det:art n
mail car,n n
Adam,n:prop
tank car,n n
box car,n n
put the cork on the cup,v det:art n prep det:art n
caboose,n
sweep broom,n n
okay,co
the pencils are coming,det:art n aux part
here we are,adv pro:sub cop
yes she gave it to you,co pro:sub v pro:per prep pro:per
no you didn't,co pro:per mod
yes give one to Ursla,co v det:num prep n:prop
I thought it was a brush,pro:sub v pro:per cop det:art n
Adam put the penny in the cup,n:prop v det:art n prep det:art n
yes there's a man,co pro:exist det:art n
we didn't go to the grocery store,pro:sub mod v prep det:art n n
okay,co
okay,co
that's a streamlined coach,pro:dem det:art part n
no not that one,co neg pro:rel pro:indef
at the mouth,prep det:art n
put the penny on the cup,v det:art n prep det:art n
this one,pro:dem pro:indef
oh he gave you some candy,co pro:sub v pro:per qn n
yes we went in the car,co pro:sub v prep det:art n
ice+cream,
yes I'm writing,co pro:sub part
oh thank_you,co n
jack+o+lantern yes,co
that's not for eating,pro:dem neg prep n:gerund
yes that's pretty,co pro:dem adv
that's good ice+cream,pro:dem adj
you keep this one,pro:per v pro:dem pro:indef
mine's lemon,n n
no,co
Adam did,n:prop v
animals,n
no just leave it there on the bench,qn adj n pro:per adv prep det:art n
you can open it up,pro:per mod v pro:per adv
it's snowing out,pro:per part adv
oh no it's a busy bulldozer,co co pro:per det:art adj n
I don't know,pro:sub mod v
no it's not going faster Adam,co pro:per neg part adj n:prop
I hear them but I don't see them,pro:sub v pro:obj conj pro:sub mod v pro:obj
no just a little bit,co adv det:art adj n
yes,co
no you may tear the paper,co pro:per mod v det:art n
she said you could open it,pro:sub v pro:per mod v pro:per
oh,co
yes,co
I have one,pro:sub v pro:indef
but he was much bigger than Perro,conj pro:sub cop adv adj prep n:prop
you'd forgotten you had the cap on top,pro:per part pro:per v det:art n prep n
thank_you,co
penguin,n
yes it's alright,co pro:per adj
oh no,co co
that's her pocketbook,pro:dem det:poss
bed yes,n co
red and yellow,adj coord n
I'd rather write with this one,pro:sub adv v prep pro:dem pro:indef
that's right,pro:dem n
this is the sleeping car,pro:dem cop det:art part n
it's so tiny you have_to be careful,pro:per adv adj pro:per mod:aux cop adj
okay,co
I'm not doing anything,pro:sub neg part pro:indef
this is the dining car where you sat,pro:dem cop det:art part n pro:rel pro:per v
no zoo,qn n
let me see that Adam,v pro:obj v pro:rel n:prop
no I think that's a truck,co pro:sub v pro:dem det:art n
if you look out the other window maybe you'll see it,conj pro:per v prep det:art qn n adv pro:per v pro:per
yeah we saw the parrot,co pro:sub v det:art n
it's gone down the street,pro:per part prep det:art n
this is a box car,pro:dem cop det:art n n
he's started being very particular about saying two this or two that,pro:sub part n adv adj adv part det:num det:dem coord det:num pro:dem
you didn't see an elephant,pro:per mod v det:art n
doggie right there,n adv adv
you put it together,pro:per v pro:per adv
looks like Adam's truck,v prep n:prop n
but there wasn't one on that,conj adv cop pro:indef prep pro:dem
it was hot and he put it in the refrigerator the cup,pro:per cop adj coord pro:sub v pro:per prep det:art n det:art n
you turned it around properly and then you put them together,pro:per v pro:per adv adv coord adv:tem pro:per v pro:obj adv
you're turning it around,pro:per part pro:per adv
no you didn't see it,co pro:per mod v pro:per
look somebody find something,v pro:indef v pro:indef
I don't know,pro:sub mod v
around,adv
there goes one,adv v pro:indef
the tape was in that box,det:art n cop prep pro:dem n
yes there goes one,co adv v pro:indef
no Adam,co n:prop
those are sardines,pro:dem cop n
turning it around,part pro:per adv
big dog,adj n
careful Adam,co n:prop
that's your brush,pro:dem det:poss n
oh teasing,co part
that's the mail car,pro:dem det:art n n
that's not a hammer,pro:dem neg det:art n
uhhuh,co
you draw up here,pro:per v adv adv
yeah big doggie was eating,co adj n aux part
oh that's Cromer's house,co pro:dem n:prop n
stop car,n n
that's not a hammer,pro:dem neg det:art n
sardines,n
I don't think the doggie wants to write,pro:sub mod v det:art n v inf v
mhm,co
she'll need it to put the tape in,pro:sub v pro:per inf v det:art n adv
oh broke a pencil,co v det:art n
no not sardines sardines,co neg n n
I think he's rather have you write,pro:sub v pro:sub adv v pro:per v
you can push it up there,pro:per mod v pro:per adv adv
there's a truck that looks like that,pro:exist det:art n pro:rel v prep pro:dem
you mustn't play with a pencil in your hand,pro:per mod v prep det:art n prep det:poss n
oh silly peekaboo,co co co
mhm,co
I think that one's too large to go in the window,pro:sub v pro:dem pro:indef adv n inf v prep det:art n
Adam's mouth,n:prop n
yes when she goes home she'll need to put the tape in the box,co conj pro:sub v n pro:sub v inf v det:art n prep det:art n
no that's not a car,co pro:dem neg det:art n
tank car,n n
I guess Adam did,pro:sub v n:prop v
I don't know,pro:sub mod v
yes,co
keep going,v n:gerund
well careful,co co
this is a fire hydrant,pro:dem cop det:art n n
no,co
oh well it's not lunch time you don't have_to have lunch,co adv pro:per neg n v pro:per mod mod:aux v n
oh yeah,co co
her nose won't squeak either,det:poss n mod v adv
that's a big truck,pro:dem det:art adj n
oh those are shoes,co pro:dem cop n
it's called the caboose,pro:per part det:art n
no just pretend,co adv adj
alright,co
there goes another one,adv v qn pro:indef
don't put it in your mouth,mod v pro:per prep det:poss n
no he's not Bozo,co pro:sub neg n:prop
flower,n
that's not a doggie,pro:dem neg det:art n
caboose,n
don't do that,mod v pro:dem
Adam no honey,n:prop qn n
it's not time,pro:per neg v
no it didn't,co pro:per mod
no that's a deer,co pro:dem det:art n
squeeze your own,v det:poss adj
that's a can opener,pro:dem det:art n adj
it looks like a derrick but it's a crane,pro:per v prep det:art n conj pro:per det:art n
let's hear your nose squeak,v v det:poss n n
yes look another one,co v qn pro:indef
oh_my_goodness,co
I see it,pro:sub v pro:per
a big needle,det:art adj n
it's terribly early in the morning to be so tired,pro:per adv adv prep det:art n inf cop adv part
it's one of the tools that they work with,pro:per pro:indef prep det:art n pro:rel pro:sub v prep
train track,n n
good morning,adj n
oh another needle,co qn n
no,co
that looks like something in a box,pro:rel v prep pro:indef prep det:art n
yes,co
I think you can,pro:sub v pro:per mod
Adam no his nose doesn't squeak,n:prop qn det:poss n mod v
I didn't bring my books today,pro:sub mod v det:poss n adv:tem
don't touch,mod v
no,co
that's an old time train,pro:dem det:art adj n n
put them back on the board,v pro:obj adv prep det:art n
don't touch that,mod v pro:dem
oh Cromer's pencil,co n:prop n
no Adam,co n:prop
yes,co
tickle he's not ticklish,n pro:sub neg adj
that's a new word,pro:dem det:art adj n
have something on the table that Ursula brought Adam,v pro:indef prep det:art n pro:rel n:prop v n:prop
that's not what you said,pro:dem neg pro:int pro:per v
yes it's yours,co pro:per pro:poss
I guess she might like to see that,pro:sub v pro:sub mod v inf v pro:dem
over here on the train track,adv adv prep det:art n n
we can't figure it out,pro:sub mod v pro:per adv
yes that does look like a broom doesn't it,co pro:rel v v prep det:art n mod pro:per
yes,co
no,co
yes the train is coming over to the tracks,co det:art n aux part adv prep det:art n
I don't know,pro:sub mod v
you just opened it,pro:per adv v pro:per
come on,v adv
yes it's sitting right there,co pro:per n:gerund adv adv
that's yours,pro:dem pro:poss
whistle baby,n n
oh you dropped something,co pro:per v pro:indef
well yes it's heavy,co co pro:per adj
oh Bozo's Butch,co n:prop n:prop
put the trains back on the table,v det:art n adv prep det:art n
xxx,
fight him,v pro:obj
no my finger won't write,qn det:poss n mod v
mouth oh,meta co
Butch is a little boy who plays with Bozo the clown,n:prop cop det:art adj n pro:rel v prep n:prop det:art n
okay,co
I think that's a stick Adam,pro:sub v pro:dem det:art n n:prop
whistle in the baby's mouth,n prep det:art n n
you leave it out here for the baby and we'll give it to him later,pro:per v pro:per adv adv prep det:art n coord pro:sub v pro:per prep pro:obj adv
I don't know,pro:sub mod v
hi Adam,co n:prop
oh that would be an awfully smart baby,co pro:rel mod cop det:art adv adj n
bow and arrow,n coord n
oh he's under your finger,co pro:sub adv det:poss n
you're turning it over,pro:per part pro:per adv
you dropped something over there,pro:per v pro:indef adv adv
thank_you,co
careful,co
that's Adam's baby,pro:dem n:prop n
write on the other side honey,v prep det:art qn n n
goodbye,co
I don't see a ball,pro:sub mod v det:art n
a star yes,det:art n co
Adam don't throw those,n:prop mod v pro:dem
not Texaco star,neg n:prop n
Ursula's boot,n:prop n
remember,co
all stars don't belong to Texaco,qn n mod v prep n:prop
you need a chair,pro:per v det:art n
yes,co
no,co
it's in there,pro:per adv adv
oh thank_you Adam,co n n:prop
oh you hurt your head on the table,co pro:per v det:poss n prep det:art n
ball,n
not write ride,neg v n
apple cider,n n
oh thank_you,co n
that's right,pro:dem n
yes that's water,co pro:dem n
not the kind you hit but the kind you kick,neg det:art n pro:per v conj det:art n pro:per v
alright,co
Adam,n:prop
I'm looking for this,pro:sub part prep pro:dem
those are rocks,pro:dem cop n
Bozo,n:prop
careful,co
corn,n
squeeze here,n adv
yes look at that,co v prep pro:dem
yes,co
push hard,n adv
oh,co
there may be fish in the water,adv mod cop n prep det:art n
not shoe ball,neg n n
no we don't eat rattles,co pro:sub mod v n
I don't know,pro:sub mod v
chair,n
shame on me,n prep pro:obj
foot ball,n n
that's not Chicken_Little,pro:dem neg n:prop
yes there may be some fish in the water,co adv mod cop qn n prep det:art n
I saw a tank truck,pro:sub v det:art n n
you like it,pro:per v pro:per
I think I did,pro:sub v pro:sub v
apple cider,n n
no the head hit the table,qn det:art n v det:art n
baseball,n
alright,co
go ask Cromer if he would like a cup of coffee,v v n:prop conj pro:sub mod prep det:art n prep n
oh no,co co
baseball,n
that's right,pro:dem n
you can't take the top off,pro:per mod v det:art n adv
you stepped on your cowboy hat,pro:per part prep det:poss n
he doesn't want that tractor up his back,pro:sub mod v pro:dem n adv det:poss n
you can close it if you want,pro:per mod v pro:per conj pro:per v
okay,co
okay yes,co co
he's not a road,pro:sub neg det:art n
d a m,n:let n:let n:let
Perro's going to read the book,n:prop part inf v det:art n
well you didn't ask him if he'd like some,co pro:per mod v pro:obj conj pro:sub v qn
that's no tape recorder,pro:dem qn n n
thank_you,co
he always leaves the a off when he's spelling,pro:sub adv v det:art n:let adv conj pro:sub part
be careful,cop adj
no,co
those are records in a box,pro:dem cop n prep det:art n
let her write Adam,v pro:obj v n:prop
spider yes,meta co
it sticks,pro:per v
she needs that pencil,pro:sub v pro:rel n
okay wait a minute,co v det:art n
no don't throw that,co mod v pro:dem
you're excused,pro:per part
oh it's a steam shovel now,co pro:per det:art n n adv
oh thank_you,co n
put it where it belongs,v pro:per pro:rel pro:per v
oh you managed to get it,co pro:per v inf v pro:per
thank_you,co
here it is,adv pro:per cop
Adam fall toy,n:prop n n
that's Adam's,pro:dem n:prop
it's not time for your lunch yet,pro:per neg v prep det:poss n adv
you managed,pro:per v
potato,n
you didn't fall that time,pro:per mod v pro:dem n
it's not even eleven o'clock yet,pro:per neg v det:num n adv
you just sat down,pro:per adv v adv
I thought you wanted Ursula to read that,pro:sub v pro:per v n:prop inf v pro:dem
it's so tiny,pro:per adv adj
okay,co
ask Ursula if she want ta a cup of coffee,v n:prop conj pro:sub v inf det:art n prep n
good morning,adj n
careful don't hit Ursula's feet with the tow truck,co mod n n:prop n prep det:art n n
good morning,adj n
okay no more sugar Adam,co co qn n n:prop
yes,co
xxx the top to the truck,det:art adj prep det:art n
good morning,adj n
I thought you were going to read to Perro,pro:sub v pro:per aux part inf v prep n:prop
you don't need milk,pro:per mod v n
xxx,
yes I guess it is a dump truck,co pro:sub v pro:per cop det:art n n
oh your rope tricks,co det:poss n n
here Perro Adam's going to read you a story,adv n:prop n:prop part inf v pro:per det:art n
I don't think I would fit in that little corner,pro:sub mod v pro:sub mod part prep pro:dem adj n
you take that in and then come back for the napkins,pro:per v pro:dem adv coord adv:tem v adj prep det:art n
well you're not going to have coffee,co pro:per neg part inf v n
just like Adam's ladder,adv prep n:prop n
mhm,co
careful don't hit Ursla,co mod n n:prop
here's a label,pro:exist det:art n
doggie bit me shame,n v pro:obj n
if you write with his pen like that it won't write anymore,conj pro:per v prep det:poss n prep pro:dem pro:per mod v adv
Adam Smith,n:prop n:prop
play squirrel,n n
hopping to Missouri,part prep n:prop
we saw some squirrels outside playing this morning,pro:sub v qn n adv part pro:dem n
yes I'm alright,co pro:sub adj
that's a song,pro:dem det:art n
grandfather,n
if you put one foot on the floor you can push it,conj pro:per v det:num n prep det:art n pro:per mod v pro:per
no I'm going to bring it in there Adam,co pro:sub part inf v pro:per prep adv n:prop
ask Cromer if he wants some coffee,v n:prop conj pro:sub v qn n
it made xxx made yellow,pro:per v v n
I don't think it will if you put him down there,pro:sub mod v pro:per mod conj pro:per v pro:obj adv adv
like that now push,prep pro:dem adv n
that one doesn't have a bunny+rabbit on,pro:dem pro:indef mod v det:art adv
pink,adj
there's a shell there,pro:exist det:art n adv
good morning to you,adj n prep pro:per
that's a flat car,pro:dem det:art adj n
try him up there,v pro:obj adv adv
yes,co
no more sugar for you Adam,qn qn n prep pro:per n:prop
why don't you sit beside Mr Cromer and write what he writes,adv:int mod pro:per v prep n:prop n:prop coord v pro:int pro:sub v
Adam ask Cromer if he wants some coffee,n:prop v n:prop conj pro:sub v qn n
oh good morning,co adj n
oh doggie,co n
now bring it over to here,adv v pro:per adv prep adv
those are her paper clips,pro:dem cop det:poss n n
well get on the floor with your doggie,co v prep det:art n prep det:poss n
well it doesn't really belong there,co pro:per mod adv v adv
you pull it over here first,pro:per v pro:per adv adv adv
or a baby's nose,coord det:art n n
oh laughing,co part
careful don't hit Ursula with your horse,co mod n n:prop prep det:poss n
Adam,n:prop
you don't know,pro:per mod v
well here come here and cut your paper,co adv v adv coord v det:poss n
Shadow_Gay is the horse that won the Kentucky Derby,n:prop cop det:art n pro:rel v det:art n:prop n:prop
yes I see,co pro:sub v
I thought I heard something on the tape,pro:sub v pro:sub v pro:indef prep det:art n
you don't play with cords either,pro:per mod v prep n adv
tree,n
yes that is Donald Duck,co pro:rel cop n:prop n:prop
Adam ask Cromer if he wants some,n:prop v n:prop conj pro:sub v qn
put it down,v pro:per adv
on your side of the paper,prep det:poss n prep det:art n
use the other one scissors,v det:art qn pro:indef n
his name,det:poss n
okay thank_you,co n
no,co
he means use the other hand for scissors,pro:sub v n det:art qn n prep n
the airplane was ready yes,det:art n cop adj co
look,co
no,co
Adam,n:prop
sounded like b f and o,part co n:let n:let coord n:let
I don't think it does,pro:sub mod v pro:per mod
that's not Pinnochio,pro:dem neg n:prop
no it doesn't go there,co pro:per mod v adv
um,
thank_you,co
those are chipmunks and Mickey_Mouse,pro:dem cop n coord n:prop
I know his name,pro:sub v det:poss n
that's very nice,pro:dem adv adj
that's no horse,pro:dem qn n
you look like it,pro:per v prep pro:per
sea,n
the bus was in the box,det:art n cop prep det:art n
snow suit,n n
oh you put your snow suit on,co pro:per v det:poss n n adv
yes,co
that's mine,pro:dem pro:poss
you put it where it belongs,pro:per v pro:per pro:rel pro:per v
ask him if he does,v pro:obj conj pro:sub v
I'll hold it,pro:sub v pro:per
I thought you were going to tell her,pro:sub v pro:per aux part inf v pro:obj
yes,co
I don't know,pro:sub mod v
wait you have_to ask him first,v pro:per mod:aux v pro:obj adv
no,co
there they are,adv pro:sub cop
yes,co
see it yes but don't take it off,v pro:per co conj mod v pro:per adv
no I didn't,co pro:sub mod
ask him if he wants milk in it,v pro:obj conj pro:sub v n prep pro:per
put pajamas on and we can ride the car,v n adv coord pro:sub mod v det:art n
there is purple,adv cop adj
no Adam shouldn't break Cromer's suitcase,co n:prop mod v n:prop n
oh you push yourself,co pro:per v pro:refl
that's right,pro:dem n
it was over here somewhere,pro:per cop adv adv adv
nothing,pro:indef
he had his bath before supper and he put his pajamas on and he this last night,pro:sub v det:poss n prep n coord pro:sub v det:poss n adv coord pro:sub det:dem adj n
he'd do without a suitcase,pro:sub v prep det:art n
there are the kitties,adv cop det:art n
Daddy has Mommy's keys,n:prop v n:prop n
no play with that hurt self,qn n prep pro:dem v n
okay,co
you don't need a pencil,pro:per mod v det:art n
they're sitting at the table,pro:sub part prep det:art n
well you don't want milk in your orange juice,co pro:per mod v n prep det:poss n n
no,co
you had a pencil,pro:per v det:art n
oh,co
he'd have_to do without a suitcase because he wouldn't have one,pro:sub mod:aux v prep det:art n conj pro:sub mod v pro:indef
you might go to sleep,pro:per mod v inf v
here's a pencil,pro:exist det:art n
yeah you dropped it,co pro:per v pro:per
not on Mr Cromer's lap,neg prep n:prop n:prop n
test,n
I don't think they went anyplace,pro:sub mod v pro:sub v adv
that's yours,pro:dem pro:poss
thank_you,co
I don't think I've heard that before,pro:sub mod v pro:sub part pro:rel adv
why don't you take that over and show it to him,adv:int mod pro:per v pro:dem adv coord v pro:per prep pro:obj
you play on the floor,pro:per v prep det:art n
I'll hurt myself if I play with your toy,pro:sub v pro:refl conj pro:sub v prep det:poss n
I don't think she has any more,pro:sub mod v pro:sub v qn pro:indef
you can't play with Daddy's,pro:per mod v prep n:prop
don't go in there yet,mod v prep adv adv
you sit on the other side of the table,pro:per v prep det:art qn n prep det:art n
that's heavy,pro:dem adj
ups_a_daisy,co
the man on the radio,det:art n prep det:art n
yes thank_you,co n
maybe he likes ball players,adv pro:sub v n n
no,co
we read that side,pro:sub v pro:dem n
yes this Daddy's,co det:dem n:prop
on the paper,prep det:art n
you do it,pro:per v pro:per
oh no he wouldn't have one,co co pro:sub mod v pro:indef
you knocked it off,pro:per v pro:per adv
yes,co
they're painting,pro:sub part
that's funny,pro:dem adj
you wrote on my finger,pro:per v prep det:poss n
you have some in your cup,pro:per v qn prep det:poss n
play with mommy's slipper,n prep n n
surprise we wait,n pro:sub v
yes Daddy's racket,co n:prop n
they are hangers,pro:sub cop n
so you can put it in a notebook if you like,co pro:per mod v pro:per prep det:art n conj pro:per co
Adam did,n:prop v
goat,n
no nobody will break the suitcase,qn pro:indef mod v det:art n
paper,n
people,n
that's not bumble bee that's a beaver,pro:dem neg v n pro:rel det:art n
no sugar,qn n
oh,co
yes he spilled something on his hands,co pro:sub v pro:indef prep det:poss n
just take the spoon out if you want it,adv v det:art v adv conj pro:per v pro:per
no no dear,co co co
okay,co
you didn't,pro:per mod
let's leave the tape recorder,v v det:art n n
raining outside,part adv
brown,adj
Adam's looking for the paper to put the boot on I guess,n:prop part prep det:art n inf v det:art n adv pro:sub v
there's nothing in here to read,pro:exist pro:indef prep adv inf v
I don't know,pro:sub mod v
you go look out the window and tell me if it's raining,pro:per v v prep det:art n coord v pro:obj conj pro:per part
get off her briefcase honey,v prep det:poss n n
oh you don't,co pro:per mod
Mommy's read it,n:prop v pro:per
no you've already put sugar in your espresso,co pro:per adv v n prep det:poss n
neither do I,coord mod pro:sub
nothing you have it in your hand,pro:indef pro:per v pro:per prep det:poss n
yes u p up,co n:let n:let adv
I don't know,pro:sub mod v
no that's not shampoo,co pro:dem neg v
boots yes,n co
alright,co
Adam home,n:prop n
alright,co
I don't know,pro:sub mod v
that's no broom,pro:dem qn n
that's dressing,pro:rel part
oh it's not a nail clippers,co pro:per neg det:art n n
get up,v adv
that's brush,pro:dem n
salad dressing,n part
up,adv
let's play a game,v v det:art n
no,co
that's not Ursula,pro:dem neg n:prop
alright,co
up,adv
it's a watch,pro:per det:art n
one,pro:indef
put them on the chair,v pro:obj prep det:art n
come on,v adv
yes,co
two,det:num
no that's a microphone,co pro:dem det:art n
what you put on salad,pro:int pro:per v prep n
alright,co
there it is,adv pro:per cop
oh well you've got milk in your juice,co n pro:per part n prep det:poss n
I don't know,pro:sub mod v
over here dear,adv adv co
wait wait,co co
no you can't sit on his either,co pro:per mod v prep det:poss adv
you're going to tear it,pro:per part inf v pro:per
got stuck,v v
you had it all squashed down,pro:per v pro:per adv part adv
no she said draw a boot on the paper,co pro:sub v v det:art n prep det:art n
I don't think that would be very good really,pro:sub mod v pro:dem mod cop adv adj adv
well I don't think so,co pro:sub mod v co
yep,co
I don't think it's a painting,pro:sub mod v pro:per det:art part
I can't put it together,pro:sub mod v pro:per adv
alright,co
I think it's really a photograph,pro:sub v pro:per adv det:art n
no she didn't say draw on a boot she said draw a boot on the paper,co pro:sub mod v v prep det:art n pro:sub v v det:art n prep det:art n
that's not a cord,pro:dem neg det:art n
airplane walk,n n
you have_to go get the car,pro:per mod:aux v v det:art n
no Mr Greenjeans isn't on now,co n:prop n:prop cop adv adv
yes,co
Ursula brought that,n:prop v pro:dem
come in Adam,v adv n:prop
I can't do that,pro:sub mod v pro:dem
I don't know why he's remembering who brought what all of a sudden,pro:sub mod v adv:int pro:sub part pro:rel v pro:int pro:indef prep det:art n
I just read that,pro:sub adv v pro:dem
that's right,pro:dem n
two feet,det:num n
you read it to me now,pro:per v pro:per prep pro:obj adv
draw a boot on the paper,v det:art n prep det:art n
you're welcome,pro:per adj
show me please,v pro:obj co
you can't play with that,pro:per mod v prep pro:dem
Adam your juice is out here,n:prop det:poss n cop adv adv
but you're drawing on the boot,conj pro:per part prep det:art n
careful,co
you're picking the ball,pro:per part det:art n
it's a can top,pro:per det:art n n
you're welcome Adam,pro:per adj n:prop
the tape recorder,det:art n n
you have_to stand up and do it,pro:per mod:aux v adv coord v pro:per
careful,co
fireman,
yes,co
Bambi,n:prop
that's a fuse,pro:dem det:art n
maybe you can fix it,adv pro:per mod v pro:per
here's one,pro:exist pro:indef
Pinocchio and Jiminy Cricket,n:prop coord n:prop n:prop
no use this finger,co n pro:dem n
no Adam you can't turn his head,co n:prop pro:per mod v det:poss n
it screws into the toy,pro:per v prep det:art n
alright,co
here's a tiny letter for your purse,pro:exist det:art adj n prep det:poss n
strong and healthy,adj coord adj
yes that is pretty,co pro:rel aux adv
that's a nice big brother,pro:dem det:art adj adj n
night_night,co
wait a minute,v det:art n
alright,co
please,co
play momma's slipper,n n n
okay,co
a bear,det:art n
take a piece of candy,v det:art n prep n
no,co
cowboy rope,n
oh thank_you,co n
after supper ball,prep n n
color kittens,n n
oh the dog,co det:art n
careful Adam you don't throw the ball when Ursula's not looking,co n:prop pro:per mod v det:art n conj n:prop neg part
thank_you Adam,co n:prop
okay,co
you go talk to Ursula,pro:per v n prep n:prop
oh it's right on your arm,co pro:per adv prep det:poss n
doggie,n
bring it over Adam,v pro:per adv n:prop
I think he was saying something else,pro:sub v pro:sub aux part pro:indef post
ask her why you put string on it,v pro:obj adv:int pro:per v n prep pro:per
I don't know,pro:sub mod v
you hit your head didn't you,pro:per v det:poss n mod pro:per
let's see,v v
alright,co
bear,n
this a piece of metal,pro:dem det:art n prep n
this is mine,pro:dem cop pro:poss
it's all squashed,pro:per adv part
come on fellow,v prep n
car,n
that's not a rocket,pro:dem neg det:art n
I have_to use that,pro:sub mod:aux v pro:dem
bring it here and I'll turn it for you,v pro:per adv coord pro:sub v pro:per prep pro:per
all squashed,post part
poor head,adj n
wheel,n
it works,pro:per v
you know Humpty_Dumpty,pro:per v n:prop
no I don't want some,co pro:sub mod v qn
like this,prep pro:dem
that's not a rocket,pro:dem neg det:art n
train,n
