those are checkers , DET AUX NOUN
you write on the paper , PRON VERB ADP DET NOUN
you tell me , PRON VERB PRON
you go tell Ursula then , PRON VERB VERB PROPN ADV
sitting in Adam chair , VERB ADP PROPN NOUN
do not knock it over , AUX PART VERB PRON ADP
I can not see it , PRON AUX PART VERB PRON
I thought you were going to tell her , PRON VERB PRON AUX VERB PART VERB PRON
the other was a cow I think , DET ADJ AUX DET NOUN PRON VERB
that is his pen , DET AUX PRON NOUN
that is Cathy , DET AUX PROPN
this is a diesel locomotive , DET AUX DET NOUN NOUN
you did not hurt yourself with the screwdriver , PRON AUX PART VERB PRON ADP DET NOUN
you can fix the screws in your firetruck , PRON AUX VERB DET NOUN ADP PRON NOUN
that is red , DET AUX ADJ
this is a cork , DET AUX DET NOUN
put this one here , VERB DET NOUN ADV
modern steam locomotive , ADJ NOUN NOUN
that looks like the letter f , DET VERB ADP DET NOUN X
put the cork on the cup , VERB DET NOUN ADP DET NOUN
we do not want all these beetles , PRON AUX PART VERB DET DET NOUN
rotary snow plow , ADJ NOUN NOUN
put the cork on the cup , VERB DET NOUN ADP DET NOUN
put the cork on the cup , VERB DET NOUN ADP DET NOUN
the pencils are coming , DET NOUN AUX VERB
here we are , ADV PRON AUX
I thought it was a brush , PRON VERB PRON AUX DET NOUN
Adam put the penny in the cup , PROPN VERB DET NOUN ADP DET NOUN
we did not go to the grocery store , PRON AUX PART VERB ADP DET NOUN NOUN
that is a streamlined coach , DET AUX DET ADJ NOUN
at the mouth , ADP DET NOUN
put the penny on the cup , VERB DET NOUN ADP DET NOUN
that is not for eating , DET AUX PART ADP VERB
that is good ice+cream , DET AUX ADJ ADJ
you keep this one , PRON VERB DET NOUN
you can open it up , PRON AUX VERB PRON ADP
it is snowing out , PRON AUX VERB ADP
I do not know , PRON AUX PART VERB
she said you could open it , PRON VERB PRON AUX VERB PRON
I have one , PRON VERB NUM
you had forgotten you had the cap on top , PRON AUX VERB PRON VERB DET NOUN ADP NOUN
that is her pocketbook , DET AUX PRON NOUN
red and yellow , ADJ CCONJ ADJ
I had rather write with this one , PRON AUX ADV VERB ADP DET NOUN
this is the sleeping car , DET AUX DET VERB NOUN
it is so tiny you have_to be careful , PRON AUX ADV ADJ PRON PROPN VERB ADJ
I am not doing anything , PRON AUX PART VERB PRON
let me see that Adam , VERB PRON VERB SCONJ PROPN
if you look out the other window maybe you will see it , SCONJ PRON VERB SCONJ DET ADJ NOUN ADV PRON AUX VERB PRON
yeah we saw the parrot , INTJ PRON VERB DET NOUN
it is gone down the street , PRON AUX VERB ADP DET NOUN
this is a box car , DET AUX DET NOUN NOUN
you did not see an elephant , PRON AUX PART VERB DET NOUN
you put it together , PRON VERB PRON ADV
looks like Adam truck , VERB ADP PROPN NOUN
it was hot and he put it in the refrigerator the cup , PRON AUX ADJ CCONJ PRON VERB PRON ADP DET NOUN DET NOUN
you turned it around properly and then you put them together , PRON VERB PRON ADV ADV CCONJ ADV PRON VERB PRON ADV
you are turning it around , PRON AUX VERB PRON ADV
look somebody find something , VERB PRON VERB PRON
I do not know , PRON AUX PART VERB
there goes one , PRON VERB NUM
the tape was in that box , DET NOUN AUX ADP DET NOUN
those are sardines , DET AUX NOUN
turning it around , VERB PRON ADP
that is your brush , DET AUX PRON NOUN
that is the mail car , DET AUX DET NOUN NOUN
that is not a hammer , DET AUX PART DET NOUN
you draw up here , PRON VERB ADP ADV
yeah big doggie was eating , INTJ ADJ NOUN AUX VERB
that is not a hammer , DET AUX PART DET NOUN
I do not think the doggie wants to write , PRON AUX PART VERB DET NOUN VERB PART VERB
she will need it to put the tape in , PRON AUX VERB PRON PART VERB DET NOUN ADP
I think he is rather have you write , PRON VERB PRON AUX ADV VERB PRON VERB
you can push it up there , PRON AUX VERB PRON ADV ADV
there is a truck that looks like that , PRON AUX DET NOUN DET VERB ADP DET
you must not play with a pencil in your hand , PRON AUX PART VERB ADP DET NOUN ADP PRON NOUN
I think that one too large to go in the window , PRON VERB SCONJ NUM ADV ADJ PART VERB ADP DET NOUN
I guess Adam did , PRON VERB PROPN VERB
I do not know , PRON AUX PART VERB
this is a fire hydrant , DET AUX DET NOUN ADJ
her nose wo not squeak either , PRON NOUN AUX PART VERB ADV
that is a big truck , DET AUX DET ADJ NOUN
it is called the caboose , PRON AUX VERB DET NOUN
there goes another one , PRON VERB DET NOUN
do not put it in your mouth , AUX PART VERB PRON ADP PRON NOUN
that is not a doggie , DET AUX PART DET NOUN
do not do that , AUX PART VERB DET
it is not time , PRON AUX PART NOUN
squeeze your own , VERB PRON ADJ
that is a can opener , DET AUX DET AUX NOUN
let us hear your nose squeak , VERB PRON VERB PRON NOUN NOUN
I see it , PRON VERB PRON
a big needle , DET ADJ NOUN
it is terribly early in the morning to be so tired , PRON AUX ADV ADJ ADP DET NOUN PART VERB ADV ADJ
it is one of the tools that they work with , PRON AUX NUM ADP DET NOUN DET PRON VERB ADP
that looks like something in a box , DET VERB ADP PRON ADP DET NOUN
I think you can , PRON VERB PRON AUX
I did not bring my books today , PRON AUX PART VERB PRON NOUN NOUN
do not touch , AUX PART VERB
that is an old time train , DET AUX DET ADJ NOUN NOUN
put them back on the board , VERB PRON ADV ADP DET NOUN
do not touch that , AUX PART VERB DET
tickle he is not ticklish , VERB PRON AUX PART ADJ
that is a new word , DET AUX DET ADJ NOUN
have something on the table that Ursula brought Adam , VERB PRON ADP DET NOUN DET PROPN VERB PROPN
I guess she might like to see that , PRON VERB PRON AUX VERB PART VERB DET
over here on the train track , ADV ADV ADP DET NOUN NOUN
we can not figure it out , PRON AUX PART VERB PRON ADP
I do not know , PRON AUX PART VERB
you just opened it , PRON ADV VERB PRON
that is yours , DET AUX PRON
put the trains back on the table , VERB DET NOUN ADV ADP DET NOUN
I think that is a stick Adam , PRON VERB DET AUX DET NOUN PROPN
whistle in the baby mouth , NOUN ADP DET NOUN NOUN
I do not know , PRON AUX PART VERB
bow and arrow , NOUN CCONJ NOUN
you are turning it over , PRON AUX VERB PRON ADP
you dropped something over there , PRON VERB PRON ADV ADV
that is Adam baby , DET AUX PROPN NOUN
write on the other side honey , VERB ADP DET ADJ NOUN NOUN
I do not see a ball , PRON AUX PART VERB DET NOUN
Adam do not throw those , PROPN AUX PART VERB DET
not Texaco star , PART PROPN NOUN
all stars do not belong to Texaco , DET NOUN AUX PART VERB ADP PROPN
you need a chair , PRON VERB DET NOUN
it is in there , PRON AUX ADP ADV
not write ride , PART VERB NOUN
I am looking for this , PRON AUX VERB ADP DET
those are rocks , DET AUX NOUN
there may be fish in the water , PRON AUX VERB NOUN ADP DET NOUN
not shoe ball , PART NOUN NOUN
I do not know , PRON AUX PART VERB
shame on me , NOUN ADP PRON
that is not Chicken_Little , DET AUX PART ADJ
I saw a tank truck , PRON VERB DET NOUN NOUN
you like it , PRON VERB PRON
I think I did , PRON VERB PRON VERB
go ask Cromer if he would like a cup of coffee , VERB VERB PROPN SCONJ PRON AUX VERB DET NOUN ADP NOUN
you can not take the top off , PRON AUX PART VERB DET NOUN ADP
you stepped on your cowboy hat , PRON VERB ADP PRON NOUN NOUN
he does not want that tractor up his back , PRON AUX PART VERB DET NOUN ADP PRON NOUN
you can close it if you want , PRON AUX VERB PRON SCONJ PRON VERB
he is not a road , PRON AUX PART DET NOUN
d a m , X DET NOUN
Perro going to read the book , PROPN VERB PART VERB DET NOUN
those are records in a box , DET AUX NOUN ADP DET NOUN
let her write Adam , VERB PRON VERB PROPN
she needs that pencil , PRON VERB SCONJ NOUN
you are excused , PRON AUX VERB
here it is , ADV PRON AUX
Adam fall toy , ADJ VERB NOUN
that is Adam , DET AUX PROPN
it is not time for your lunch yet , PRON AUX PART NOUN ADP PRON NOUN ADV
you did not fall that time , PRON AUX PART VERB DET NOUN
it is not even eleven o'clock yet , PRON AUX PART ADV NUM NOUN ADV
you just sat down , PRON ADV VERB ADP
I thought you wanted Ursula to read that , PRON VERB PRON VERB PROPN PART VERB DET
it is so tiny , PRON AUX ADV ADJ
ask Ursula if she want ta a cup of coffee , VERB PROPN SCONJ PRON VERB ADP DET NOUN ADP NOUN
careful do not hit Ursula feet with the tow truck , ADJ AUX PART VERB PROPN NOUN ADP DET NOUN NOUN
xxx the top to the truck , INTJ DET NOUN ADP DET NOUN
I thought you were going to read to Perro , PRON VERB PRON AUX VERB PART VERB ADP PROPN
you do not need milk , PRON AUX PART VERB NOUN
here Perro Adam going to read you a story , ADV PROPN PROPN VERB PART VERB PRON DET NOUN
I do not think I would fit in that little corner , PRON AUX PART VERB PRON AUX VERB ADP DET ADJ NOUN
you take that in and then come back for the napkins , PRON VERB DET ADV CCONJ ADV VERB ADV ADP DET NOUN
just like Adam ladder , ADV ADP PROPN NOUN
careful do not hit Ursla , ADJ AUX PART VERB PROPN
here is a label , ADV AUX DET NOUN
doggie bit me shame , NOUN NOUN PRON NOUN
hopping to Missouri , VERB ADP PROPN
we saw some squirrels outside playing this morning , PRON VERB DET NOUN ADP VERB DET NOUN
that is a song , DET AUX DET NOUN
if you put one foot on the floor you can push it , SCONJ PRON VERB NUM NOUN ADP DET NOUN PRON AUX VERB PRON
ask Cromer if he wants some coffee , VERB PROPN SCONJ PRON VERB DET NOUN
it made xxx made yellow , PRON VERB ADJ VERB ADJ
I do not think it will if you put him down there , PRON AUX PART VERB PRON AUX SCONJ PRON VERB PRON ADV ADV
like that now push , ADP DET ADV VERB
that one does not have a bunny+rabbit on , DET NOUN AUX PART VERB DET PROPN ADP
there is a shell there , PRON AUX DET NOUN ADV
good morning to you , ADJ NOUN ADP PRON
that is a flat car , DET AUX DET ADJ NOUN
try him up there , VERB PRON ADV ADV
Adam ask Cromer if he wants some coffee , PROPN VERB PROPN SCONJ PRON VERB DET NOUN
now bring it over to here , ADV VERB PRON ADP ADP ADV
those are her paper clips , DET AUX PRON NOUN NOUN
you pull it over here first , PRON VERB PRON ADP ADV ADV
or a baby nose , CCONJ DET NOUN NOUN
careful do not hit Ursula with your horse , ADJ AUX PART VERB PROPN ADP PRON NOUN
you do not know , PRON AUX PART VERB
Shadow_Gay is the horse that won the Kentucky Derby , PROPN AUX DET NOUN DET VERB DET PROPN PROPN
I thought I heard something on the tape , PRON VERB PRON VERB PRON ADP DET NOUN
you do not play with cords either , PRON AUX PART VERB ADP NOUN CCONJ
Adam ask Cromer if he wants some , PROPN VERB PROPN SCONJ PRON VERB DET
put it down , VERB PRON ADP
on your side of the paper , ADP PRON NOUN ADP DET NOUN
use the other one scissors , VERB DET ADJ NUM NOUN
he means use the other hand for scissors , PRON VERB VERB DET ADJ NOUN ADP NOUN
sounded like b f and o , VERB ADP NOUN X CCONJ PRON
I do not think it does , PRON AUX PART VERB PRON VERB
that is not Pinnochio , DET AUX PART PROPN
those are chipmunks and Mickey_Mouse , DET AUX NOUN CCONJ NOUN
I know his name , PRON VERB PRON NOUN
that is very nice , DET AUX ADV ADJ
you look like it , PRON VERB ADP PRON
the bus was in the box , DET NOUN AUX ADP DET NOUN
that is mine , DET AUX ADJ
ask him if he does , VERB PRON SCONJ PRON VERB
I will hold it , PRON AUX VERB PRON
I thought you were going to tell her , PRON VERB PRON AUX VERB PART VERB PRON
I do not know , PRON AUX PART VERB
wait you have_to ask him first , VERB PRON PROPN VERB PRON ADV
there they are , ADV PRON AUX
ask him if he wants milk in it , VERB PRON SCONJ PRON VERB NOUN ADP PRON
put pajamas on and we can ride the car , VERB NOUN ADP CCONJ PRON AUX VERB DET NOUN
there is purple , PRON AUX ADJ
it was over here somewhere , PRON AUX ADV ADV ADV
he had do without a suitcase , PRON AUX VERB ADP DET NOUN
there are the kitties , PRON AUX DET NOUN
Daddy has Mommy keys , NOUN VERB PROPN NOUN
you do not need a pencil , PRON AUX PART VERB DET NOUN
they are sitting at the table , PRON AUX VERB ADP DET NOUN
you had a pencil , PRON VERB DET NOUN
you might go to sleep , PRON AUX VERB PART VERB
here is a pencil , ADV AUX DET NOUN
yeah you dropped it , INTJ PRON VERB PRON
not on Mr Cromer lap , PART ADP PROPN PROPN VERB
I do not think they went anyplace , PRON AUX PART VERB PRON VERB NOUN
that is yours , DET AUX PRON
I do not think I have heard that before , PRON AUX PART VERB PRON AUX VERB SCONJ ADP
you play on the floor , PRON VERB ADP DET NOUN
I will hurt myself if I play with your toy , PRON AUX VERB PRON SCONJ PRON VERB ADP PRON NOUN
I do not think she has any more , PRON AUX PART VERB PRON VERB DET ADV
you can not play with Daddy , PRON AUX PART VERB ADP NOUN
do not go in there yet , AUX PART VERB ADV ADV ADV
you sit on the other side of the table , PRON VERB ADP DET ADJ NOUN ADP DET NOUN
that is heavy , DET AUX ADJ
the man on the radio , DET NOUN ADP DET NOUN
maybe he likes ball players , ADV PRON VERB NOUN NOUN
we read that side , PRON VERB DET NOUN
on the paper , ADP DET NOUN
you do it , PRON VERB PRON
you knocked it off , PRON VERB PRON ADP
they are painting , PRON AUX VERB
that is funny , DET AUX ADJ
you wrote on my finger , PRON VERB ADP PRON NOUN
you have some in your cup , PRON VERB DET ADP PRON NOUN
play with mommy slipper , VERB ADP NOUN NOUN
surprise we wait , NOUN PRON VERB
they are hangers , PRON AUX NOUN
so you can put it in a notebook if you like , ADV PRON AUX VERB PRON ADP DET NOUN SCONJ PRON VERB
that is not bumble bee that is a beaver , DET AUX PART ADJ NOUN DET VERB DET NOUN
just take the spoon out if you want it , ADV VERB DET NOUN ADP SCONJ PRON VERB PRON
you did not , PRON VERB PART
let us leave the tape recorder , VERB PRON VERB DET NOUN NOUN
Adam looking for the paper to put the boot on I guess , PROPN VERB ADP DET NOUN PART VERB DET NOUN ADP PRON VERB
there is nothing in here to read , PRON AUX PRON ADP ADV PART VERB
I do not know , PRON AUX PART VERB
get off her briefcase honey , VERB ADP PRON NOUN NOUN
Mommy read it , PROPN VERB PRON
neither do I , CCONJ VERB PRON
nothing you have it in your hand , PRON PRON VERB PRON ADP PRON NOUN
I do not know , PRON AUX PART VERB
I do not know , PRON AUX PART VERB
that is dressing , DET AUX VERB
that is brush , DET AUX NOUN
let us play a game , VERB PRON VERB DET NOUN
that is not Ursula , DET AUX PART PROPN
it is a watch , PRON AUX DET NOUN
put them on the chair , VERB PRON ADP DET NOUN
there it is , ADV PRON AUX
I do not know , PRON AUX PART VERB
over here dear , ADV ADV NOUN
you are going to tear it , PRON AUX VERB PART VERB PRON
you had it all squashed down , PRON VERB PRON DET VERB ADP
I do not think that would be very good really , PRON AUX PART VERB DET AUX VERB ADV ADJ ADV
I do not think it is a painting , PRON AUX PART VERB PRON AUX DET NOUN
I can not put it together , PRON AUX PART VERB PRON ADV
I think it is really a photograph , PRON VERB PRON AUX ADV DET NOUN
that is not a cord , DET AUX PART DET NOUN
you have_to go get the car , PRON NOUN VERB VERB DET NOUN
Ursula brought that , PROPN VERB DET
come in Adam , VERB ADP PROPN
I can not do that , PRON AUX PART VERB DET
I just read that , PRON ADV VERB DET
you read it to me now , PRON VERB PRON ADP PRON ADV
draw a boot on the paper , VERB DET NOUN ADP DET NOUN
you are welcome , PRON AUX ADJ
you can not play with that , PRON AUX PART VERB ADP DET
Adam your juice is out here , PROPN PRON NOUN AUX ADV ADV
you are picking the ball , PRON AUX VERB DET NOUN
it is a can top , PRON AUX DET AUX VERB
you are welcome Adam , PRON AUX ADJ PROPN
the tape recorder , DET NOUN NOUN
you have_to stand up and do it , PRON PROPN VERB ADP CCONJ VERB PRON
that is a fuse , DET AUX DET NOUN
maybe you can fix it , ADV PRON AUX VERB PRON
here is one , ADV AUX NUM
Pinocchio and Jiminy Cricket , PROPN CCONJ PROPN PROPN
it screws into the toy , PRON VERB ADP DET NOUN
here is a tiny letter for your purse , ADV AUX DET ADJ NOUN ADP PRON NOUN
strong and healthy , ADJ CCONJ ADJ
that is a nice big brother , DET AUX DET ADJ ADJ NOUN
wait a minute , VERB DET NOUN
play momma slipper , VERB ADJ NOUN
take a piece of candy , VERB DET NOUN ADP NOUN
after supper ball , ADP NOUN NOUN
you go talk to Ursula , PRON VERB VERB ADP PROPN
bring it over Adam , VERB PRON ADP PROPN
I think he was saying something else , PRON VERB PRON AUX VERB PRON ADV
I do not know , PRON AUX PART VERB
you hit your head did not you , PRON VERB PRON NOUN VERB PART PRON
let us see , VERB PRON VERB
this a piece of metal , DET DET NOUN ADP NOUN
this is mine , DET AUX NOUN
it is all squashed , PRON AUX DET ADJ
come on fellow , VERB ADP NOUN
that is not a rocket , DET AUX PART DET NOUN
I have_to use that , PRON PROPN VERB DET
bring it here and I will turn it for you , VERB PRON ADV CCONJ PRON AUX VERB PRON ADP PRON
you know Humpty_Dumpty , PRON VERB PROPN
that is not a rocket , DET AUX PART DET NOUN
that is a Wheaties box , DET AUX DET PROPN NOUN
you could use the paper , PRON AUX VERB DET NOUN
you are stepping on her feet , PRON AUX VERB ADP PRON NOUN
big and strong , ADJ CCONJ ADJ
you do not need to make it so long Adam , PRON AUX PART VERB PART VERB PRON ADV ADV PROPN
do not pull Mommy , AUX PART VERB PROPN
he did not say anything , PRON AUX PART VERB PRON
that is very nice , DET AUX ADV ADJ
talking to Mr , VERB ADP PROPN
you go over near the door , PRON VERB ADP SCONJ DET NOUN
I do not know , PRON AUX PART VERB
Cromer is big and strong , NOUN AUX ADJ CCONJ ADJ
you are welcome Adam , PRON AUX ADJ PROPN
that is the bear riding a unicycle , DET AUX DET NOUN VERB DET NOUN
you lost your dirt , PRON VERB PRON NOUN
do not spill your coffee , AUX PART VERB PRON NOUN
you wind it , PRON VERB PRON
hold your hand way way up , VERB PRON NOUN NOUN NOUN ADV
by Pablo Picasso , ADP PROPN PROPN
go high as you can , VERB ADV ADP PRON AUX
now let go , ADV VERB VERB
I see it , PRON VERB PRON
I see it , PRON VERB PRON
she did not make any noise , PRON AUX PART VERB DET NOUN
it is a windmill , PRON AUX DET NOUN
he is too little , PRON AUX ADV ADJ
she is still there , PRON AUX ADV ADV
careful Adam the coffee hot , ADJ PROPN DET NOUN ADJ
you take the card , PRON VERB DET NOUN
I have many , PRON VERB ADJ
drop it down , VERB PRON ADP
he saw some clowns at the circus throw pies , PRON VERB DET NOUN ADP DET NOUN VERB NOUN
yeah Ursula still there , INTJ PROPN ADV ADV
play with momma slipper , VERB ADP ADJ NOUN
that one missing , SCONJ NUM VERB
now pull it back up , ADV VERB PRON ADV ADP
something in there , PRON ADV ADV
fun to write , NOUN PART VERB
you almost fell while you were getting the dollars , PRON ADV VERB SCONJ PRON AUX VERB DET NOUN
watch it kids , VERB PRON VERB
bucket still there , NOUN ADV ADV
listen to it , VERB ADP PRON
you are going to give him one , PRON AUX VERB PART VERB PRON NUM
I am writing , PRON AUX VERB
the color kittens are still there , DET NOUN NOUN AUX ADV ADV
you are dumping he was dumping trash out , PRON AUX VERB PRON AUX VERB NOUN ADP
something about feet , PRON ADP NOUN
the tractor can not write , DET NOUN AUX PART VERB
a bucket of paint , DET NOUN ADP NOUN
the racket can not write either , DET NOUN AUX PART VERB DET
she does not have any games in that one Adam , PRON AUX PART VERB DET NOUN ADP DET NUM PROPN
you do that , PRON VERB DET
Adam is sitting down , PROPN AUX VERB ADP
I wo not step on your candy , PRON AUX PART VERB ADP PRON NOUN
it is a kitty , PRON AUX DET NOUN
I do not know , PRON AUX PART VERB
here is the string , ADV AUX DET NOUN
you might hurt him , PRON AUX VERB PRON
I am just putting it here , PRON AUX ADV VERB PRON ADV
you do not throw books either , PRON AUX PART VERB NOUN CCONJ
a big lion , DET ADJ NOUN
that is Daddy filing case , DET AUX NOUN NOUN NOUN
let Adam stir you , VERB PROPN VERB PRON
now it is large enough , ADV PRON AUX ADJ ADV
do not take those out , AUX PART VERB DET ADP
the doggie ate all of his ice+cream , DET NOUN VERB DET ADP PRON NOUN
leave them in there , VERB PRON ADV ADV
put it on your ear , VERB PRON ADP PRON NOUN
now it is large enough , ADV PRON AUX ADJ ADV
that is a kitty foot , DET AUX DET NOUN NOUN
you can turn this one on , PRON AUX VERB DET NOUN ADP
he likes ice+cream , PRON VERB PROPN
you are going to put all of your toys away , PRON AUX VERB PART VERB DET ADP PRON NOUN ADV
you are not even looking out the window , PRON AUX PART ADV VERB SCONJ DET NOUN
that is a baby giraffe , DET AUX DET NOUN NOUN
I can not turn it off , PRON AUX PART VERB PRON ADP
thank_you very much , PRON ADV ADV
because they are Daddy , SCONJ PRON AUX NOUN
those are his paws , DET AUX PRON NOUN
it feels a little like rubber I guess , PRON VERB DET ADJ ADP NOUN PRON VERB
that is a train , DET AUX DET NOUN
here take it back to Ursula , ADV VERB PRON ADV ADP PROPN
now you have spilled a whole cup of sugar almost , ADV PRON AUX VERB DET ADJ NOUN ADP NOUN ADV
you may fall , PRON AUX VERB
I am looking for a pencil , PRON AUX VERB ADP DET NOUN
if I let go you will fall and hurt yourself , SCONJ PRON VERB VERB PRON AUX VERB CCONJ VERB PRON
you went to Cambridge , PRON VERB ADP PROPN
it does not turn off , PRON AUX PART VERB ADP
I do not think so , PRON AUX PART VERB ADV
I do not have a pencil in there , PRON AUX PART VERB DET NOUN ADV ADV
I think that is still the sun , PRON VERB DET AUX ADV DET NOUN
being stirred does not make you big strong and healthy , AUX VERB AUX PART VERB PRON ADJ ADJ CCONJ ADJ
I never saw that before , PRON ADV VERB SCONJ ADP
I think it is all wood , PRON VERB PRON AUX DET NOUN
because the springs are all wound up , SCONJ DET NOUN AUX DET ADJ ADP
just one wheel left , ADV NUM NOUN VERB
you just can not pick it up that way , PRON ADV AUX PART VERB PRON ADP DET NOUN
you are tires , PRON AUX NOUN
xxx espresso sing a song , PRON NOUN VERB DET NOUN
she did not say tape recorder , PRON AUX PART VERB NOUN NOUN
I do not want milk over me , PRON AUX PART VERB NOUN ADP PRON
he is just sharp , PRON AUX ADV ADJ
she said cork , PRON VERB NOUN
go pick them up , VERB VERB PRON ADP
he does not have a ball , PRON AUX PART VERB DET NOUN
he does not want to exercise , PRON AUX PART VERB PART VERB
use these fingers , VERB DET NOUN
he is giving himself a shower , PRON AUX VERB PRON DET NOUN
I think it came off , PRON VERB PRON VERB ADP
hold your arm way up , VERB PRON NOUN NOUN ADV
we have_to find something to make a hole with , PRON PROPN VERB PRON PART VERB DET NOUN ADP
part of the tape recorder , NOUN ADP DET NOUN NOUN
bring my purse , VERB PRON NOUN
Adam he does not want to exercise , PROPN PRON AUX PART VERB PART VERB
that is a good one to jump on , DET AUX DET ADJ NOUN PART VERB ADP
that is a porcupine , DET AUX DET NOUN
we will put them up now , PRON AUX VERB PRON ADP ADV
maybe it broke Adam , ADV PRON VERB PROPN
Trowbridge Cambridge street , PROPN PROPN NOUN
that is not a taper , DET AUX PART DET NOUN
it does not have a band , PRON AUX PART VERB DET NOUN
you have_to make a hole with something , PRON NOUN VERB DET NOUN ADP PRON
it is a tape recorder , PRON AUX DET NOUN NOUN
do not put them on the floor Adam , AUX PART VERB PRON ADP DET NOUN PROPN
let us have something to read , VERB PRON VERB PRON PART VERB
that is a hippopotamus , DET AUX DET NOUN
that is not really a boy book , DET AUX PART ADV DET NOUN NOUN
this is a microphone , DET AUX DET NOUN
take a bath exercise play , VERB DET NOUN NOUN NOUN
I have something to read , PRON VERB PRON PART VERB
maybe it is in here , ADV PRON AUX ADP ADV
this is a panda , DET AUX DET NOUN
he does not want pie , PRON AUX PART VERB NOUN
because his nose is very small and it just broke off , SCONJ PRON NOUN AUX ADV ADJ CCONJ PRON ADV VERB ADP
I am drinking espresso , PRON AUX VERB NOUN
it does not belong like that , PRON AUX PART VERB ADP DET
he is finished , PRON AUX VERB
I have a nail file , PRON VERB DET NOUN NOUN
the sun is not shining in that window , DET NOUN AUX PART VERB ADP DET NOUN
that is a polar bear , DET AUX DET ADJ NOUN
now you play the game with me , ADV PRON VERB DET NOUN ADP PRON
it does not go that way , PRON AUX PART VERB DET NOUN
you made it , PRON VERB PRON
I would not throw my hat , PRON AUX PART VERB PRON NOUN
xxx wait now xxx , INTJ VERB ADV ADV
you ask me , PRON VERB PRON
it wo not stay there , PRON AUX PART VERB ADV
it is on the other side of the house , PRON AUX ADP DET ADJ NOUN ADP DET NOUN
you had better take it back to Ursula , PRON AUX ADV VERB PRON ADV ADP PROPN
I do not know , PRON AUX PART VERB
a polar bear , DET ADJ NOUN
and bring the pencils back too , CCONJ VERB DET NOUN ADV ADV
he is sitting on top of ice , PRON AUX VERB ADP NOUN ADP NOUN
because you did not eat your breakfast , SCONJ PRON AUX PART VERB PRON NOUN
you go back in the living room , PRON VERB ADV ADP DET NOUN NOUN
this one the leopard , DET NOUN DET NOUN
do not be so rough with the pen , AUX PART VERB ADV ADJ ADP DET NOUN
you dropped your dollars on the floor , PRON VERB PRON NOUN ADP DET NOUN
come on let us go , VERB ADP VERB PRON VERB
I did not take anything out , PRON AUX PART VERB PRON ADP
in the refrigerator so it will be nice and warm , ADP DET NOUN SCONJ PRON AUX VERB ADJ CCONJ ADJ
Ursula took something out , PROPN VERB PRON ADP
I did not understand the word , PRON AUX PART VERB DET NOUN
careful of the light Adam , ADJ ADP DET NOUN PROPN
you do not have_to go to bed again , PRON AUX PART PROPN VERB ADP NOUN ADV
you fell down on Mommy rug , PRON VERB ADP ADP PROPN NOUN
I have some , PRON VERB DET
at least not like that anyway , ADP ADJ PART ADP DET ADV
cowboy got the boot on , NOUN VERB DET NOUN ADP
do not hit anybody with that Adam , AUX PART VERB PRON ADP DET PROPN
that is not chewing gum , DET AUX PART VERB NOUN
I think you had better take the watch back to Ursula , PRON VERB PRON AUX ADV VERB DET NOUN ADV ADP PROPN
you do it , PRON VERB PRON
